Seedling_ID,Sample_Name,AdultTag,Seedling_Species,Adult_Species,Status,Tube_Sample,Sample,Group,Date_sample_collected
01401_0407_1_01,STRI_F_R042,1401,DG,HC,Healthy,F_R042,R042,FUN,20191001
01401_0407_1_02,STRI_O_R042,1401,DG,HC,Healthy,O_R042,R042,OOMY,20191001
01401_0407_2_01,STRI_F_R092,1401,DG,HC,Infected,F_R092,R092,FUN,20191003
01401_0407_2_01,STRI_F_L094,1401,DG,HC,Infected,F_L094,L094,FUN,20191003
01401_0803_1_02,STRI_F_L203,1401,HC,HC,Healthy,F_L203,L203,FUN,20191001
01401_0803_1_02,STRI_F_R201,1401,HC,HC,Healthy,F_R201,R201,FUN,20191001
01401_0803_1_04,STRI_F_R151,1401,HC,HC,Healthy,F_R151,R151,FUN,20190828
01401_0803_1_05,STRI_O_R151,1401,HC,HC,Healthy,O_R151,R151,OOMY,20190828
01401_0803_3_01,STRI_F_R217,1401,HC,HC,Natural_Germination,F_R217,R217,FUN,20190814
01401_0820_1_02,STRI_F_R153,1401,HT,HC,Healthy,F_R153,R153,FUN,20190828
01401_0820_1_03,STRI_F_L200,1401,HT,HC,Healthy,F_L200,L200,FUN,20191001
01401_0820_1_05,STRI_F_R152,1401,HT,HC,Healthy,F_R152,R152,FUN,20190828
01401_0820_1_08,STRI_F_R238,1401,HT,HC,Healthy,F_R238,R238,FUN,20190918
01401_0820_1_09,STRI_O_R238,1401,HT,HC,Healthy,O_R238,R238,OOMY,20190918
01401_0820_2_02,STRI_F_R072,1401,HT,HC,Infected,F_R072,R072,FUN,20190926
01401_0820_2_02,STRI_F_L074,1401,HT,HC,Infected,F_L074,L074,FUN,20190926
01401_1901_3_01,STRI_F_R128,1401,SA,HC,Natural_Germination,F_R128,R128,FUN,20190822
01401_1901_3_02,STRI_F_R029,1401,SA,HC,Natural_Germination,F_R029,R029,FUN,20190828
01687_0803_3_01,STRI_F_R123,1687,HC,DG,Natural_Germination,F_R123,R123,FUN,20190826
01687_0803_3_03,STRI_F_R129,1687,HC,DG,Natural_Germination,F_R129,R129,FUN,20190826
01687_0803_3_04,STRI_O_R129,1687,HC,DG,Natural_Germination,O_R129,R129,OOMY,20190826
01687_0820_1_02,STRI_F_R045,1687,HT,DG,Healthy,F_R045,R045,FUN,20191001
01687_0820_1_03,STRI_O_R045,1687,HT,DG,Healthy,O_R045,R045,OOMY,20191001
01687_0820_1_04,STRI_F_L209,1687,HT,DG,Healthy,F_L209,L209,FUN,20191004
01687_0820_1_04,STRI_F_R207,1687,HT,DG,Healthy,F_R207,R207,FUN,20191004
01687_0820_1_08,STRI_F_R173,1687,HT,DG,Healthy,F_R173,R173,FUN,20191004
01772_0407_1_02,STRI_F_L170,1772,DG,HC,Healthy,F_L170,L170,FUN,20191004
01772_0407_1_02,STRI_F_R172,1772,DG,HC,Healthy,F_R172,R172,FUN,20191004
01772_0407_1_03,STRI_F_L197,1772,DG,HC,Healthy,F_L197,L197,FUN,20191001
01772_0407_1_03,STRI_F_R195,1772,DG,HC,Healthy,F_R195,R195,FUN,20191001
01772_0407_1_03,STRI_O_R172,1772,DG,HC,Healthy,O_R172,R172,OOMY,20191004
01772_0803_1_04,STRI_F_L167,1772,HC,HC,Healthy,F_L167,L167,FUN,20191004
01772_0803_1_04,STRI_F_R169,1772,HC,HC,Healthy,F_R169,R169,FUN,20191004
01772_0803_3_01,STRI_F_R124,1772,HC,HC,Natural_Germination,F_R124,R124,FUN,20190826
01772_0803_3_02,STRI_O_R124,1772,HC,HC,Natural_Germination,O_R124,R124,OOMY,20190826
01772_0803_3_02,STRI_F_R140,1772,HC,HC,Natural_Germination,F_R140,R140,FUN,20190826
01772_0803_3_03,STRI_F_R141,1772,HC,HC,Natural_Germination,F_R141,R141,FUN,20190826
01772_0803_3_03,STRI_O_R140,1772,HC,HC,Natural_Germination,O_R140,R140,OOMY,20190826
01772_0803_3_04,STRI_F_R218,1772,HC,HC,Natural_Germination,F_R218,R218,FUN,20190814
01772_0820_1_01,STRI_F_R066,1772,HT,HC,Healthy,F_R066,R066,FUN,20190927
01772_0820_1_01,STRI_F_L068,1772,HT,HC,Healthy,F_L068,L068,FUN,20190927
01772_0820_1_02,STRI_F_L050,1772,HT,HC,Healthy,F_L050,L050,FUN,20191001
01772_0820_1_02,STRI_F_R048,1772,HT,HC,Healthy,F_R048,R048,FUN,20191001
01772_0820_1_04,STRI_F_L215,1772,HT,HC,Healthy,F_L215,L215,FUN,20191004
01772_0820_1_04,STRI_F_R213,1772,HT,HC,Healthy,F_R213,R213,FUN,20191004
01772_0820_1_05,STRI_F_R192,1772,HT,HC,Healthy,F_R192,R192,FUN,20191001
01772_0820_1_05,STRI_F_L194,1772,HT,HC,Healthy,F_L194,L194,FUN,20191001
01772_1901_3_01,STRI_F_R131,1772,SA,HC,Natural_Germination,F_R131,R131,FUN,20190826
01772_1901_3_02,STRI_F_R133,1772,SA,HC,Natural_Germination,F_R133,R133,FUN,20190826
01772_1901_3_02,STRI_O_R131,1772,SA,HC,Natural_Germination,O_R131,R131,OOMY,20190826
01772_1901_3_03,STRI_O_R133,1772,SA,HC,Natural_Germination,O_R133,R133,OOMY,20190826
02512_0407_1_01,STRI_F_R253,2512,DG,HT,Healthy,F_R253,R253,FUN,20190921
02512_0407_1_01,STRI_F_L222,2512,DG,HT,Healthy,F_L222,L222,FUN,20190921
02512_0407_2_01,STRI_F_R252,2512,DG,HT,Infected,F_R252,R252,FUN,20190917
02512_0803_3_01,STRI_F_R251,2512,HC,HT,Natural_Germination,F_R251,R251,FUN,20190920
02512_0803_3_01,STRI_F_L232,2512,HC,HT,Natural_Germination,F_L232,L232,FUN,20190920
02512_0820_1_01,STRI_F_R166,2512,HT,HT,Healthy,F_R166,R166,FUN,20190814
02512_0820_1_02,STRI_F_R189,2512,HT,HT,Healthy,F_R189,R189,FUN,20191011
02512_0820_1_02,STRI_F_L187,2512,HT,HT,Healthy,F_L187,L187,FUN,20191011
02512_0820_1_07,STRI_F_R184,2512,HT,HT,Healthy,F_R184,R184,FUN,20191011
02512_0820_1_07,STRI_F_L186,2512,HT,HT,Healthy,F_L186,L186,FUN,20191011
02512_0820_1_11,STRI_F_R005,2512,HT,HT,Healthy,F_R005,R005,FUN,20191011
02512_0820_1_11,STRI_F_L005,2512,HT,HT,Healthy,F_L005,L005,FUN,20191011
02512_0820_2_03,STRI_F_L112,2512,HT,HT,Infected,F_L112,L112,FUN,20190920
02512_1901_3_01,STRI_F_R216,2512,SA,HT,Natural_Germination,F_R216,R216,FUN,20190903
02512_1901_3_02,STRI_O_R216,2512,SA,HT,Natural_Germination,O_R216,R216,OOMY,20190903
03546_0407_2_01,STRI_F_R060,3546,DG,HC,Infected,F_R060,R060,FUN,20190927
03546_0407_2_01,STRI_F_L062,3546,DG,HC,Infected,F_L062,L062,FUN,20190927
03546_0407_3_01,STRI_F_R127,3546,DG,HC,Natural_Germination,F_R127,R127,FUN,20190822
03546_0407_3_02,STRI_F_R130,3546,DG,HC,Natural_Germination,F_R130,R130,FUN,20190822
03546_0407_3_03,STRI_O_R130,3546,DG,HC,Natural_Germination,O_R130,R130,OOMY,20190822
03546_0803_1_01,STRI_F_R204,3546,HC,HC,Healthy,F_R204,R204,FUN,20191004
03546_0803_1_01,STRI_F_L206,3546,HC,HC,Healthy,F_L206,L206,FUN,20191004
03546_0803_3_02,STRI_F_R132,3546,HC,HC,Natural_Germination,F_R132,R132,FUN,20190822
12249_0407_1_03,STRI_F_R019,12249,DG,HC,Healthy,F_R019,R019,FUN,20190927
12249_0407_2_01,STRI_F_R106,12249,DG,HC,Infected,F_R106,R106,FUN,20190920
12249_0407_2_01,STRI_F_L108,12249,DG,HC,Infected,F_L108,L108,FUN,20190920
12249_0803_1_01,STRI_F_L025,12249,HC,HC,Healthy,F_L025,L025,FUN,20190927
12249_0803_1_01,STRI_F_R022,12249,HC,HC,Healthy,F_R022,R022,FUN,20190927
12249_0820_1_04,STRI_F_R099,12249,HT,HC,Healthy,F_R099,R099,FUN,20190903
12249_0820_1_05,STRI_F_R015,12249,HT,HC,Healthy,F_R015,R015,FUN,20190927
12249_0820_1_05,STRI_F_L018,12249,HT,HC,Healthy,F_L018,L018,FUN,20190927
12249_0820_1_06,STRI_O_R015,12249,HT,HC,Healthy,O_R015,R015,OOMY,20190927
12249_0820_1_06,STRI_F_R191,12249,HT,HC,Healthy,F_R191,R191,FUN,20190903
12249_0820_1_08,STRI_F_R006,12249,HT,HC,Healthy,F_R006,R006,FUN,20191011
12249_0820_3_02,STRI_F_R138,12249,HT,HC,Natural_Germination,F_R138,R138,FUN,20190822
12249_1901_2_01,STRI_F_R247,12249,SA,HC,Infected,F_R247,R247,FUN,20191001
12249_1901_2_02,STRI_O_R247,12249,SA,HC,Infected,O_R247,R247,OOMY,20191001
12249_1901_3_01,STRI_F_R053,12249,SA,HC,Natural_Germination,F_R053,R053,FUN,20190911
12525_0407_1_01,STRI_F_L231,12525,DG,DG,Healthy,F_L231,L231,FUN,20190921
12525_0407_2_01,STRI_F_R248,12525,DG,DG,Infected,F_R248,R248,FUN,20191001
12525_0407_2_01,STRI_F_L101,12525,DG,DG,Infected,F_L101,L101,FUN,20191001
12525_0407_2_04,STRI_F_R033,12525,DG,DG,Infected,F_R033,R033,FUN,20191001
12525_0407_2_04,STRI_F_L035,12525,DG,DG,Infected,F_L035,L035,FUN,20191001
12525_0803_1_01,STRI_F_L114,12525,HC,DG,Healthy,F_L114,L114,FUN,20190921
12525_0820_2_01,STRI_F_L230,12525,HT,DG,Infected,F_L230,L230,FUN,20190917
12525_0820_2_01,STRI_F_R254,12525,HT,DG,Infected,F_R254,R254,FUN,20190917
12855_0407_1_01,STRI_F_R002,12855,DG,HT,Healthy,F_R002,R002,FUN,20190924
12855_0407_3_01,STRI_F_R142,12855,DG,HT,Natural_Germination,F_R142,R142,FUN,20190820
12855_0803_1_01,STRI_F_L220,12855,HC,HT,Healthy,F_L220,L220,FUN,20190924
12855_0803_1_01,STRI_F_R161,12855,HC,HT,Healthy,F_R161,R161,FUN,20190924
12855_0803_3_01,STRI_F_R148,12855,HC,HT,Natural_Germination,F_R148,R148,FUN,20190826
12855_0820_1_01,STRI_F_R165,12855,HT,HT,Healthy,F_R165,R165,FUN,20190814
12855_0820_1_06,STRI_F_L001,12855,HT,HT,Healthy,F_L001,L001,FUN,20190924
12855_0820_1_06,STRI_F_R001,12855,HT,HT,Healthy,F_R001,R001,FUN,20190924
12855_0820_1_08,STRI_F_L004,12855,HT,HT,Healthy,F_L004,L004,FUN,20191011
12855_0820_1_08,STRI_F_R004,12855,HT,HT,Healthy,F_R004,R004,FUN,20191011
12855_0820_1_09,STRI_O_R004,12855,HT,HT,Healthy,O_R004,R004,OOMY,20191011
12855_1901_1_01,STRI_F_R003,12855,SA,HT,Healthy,F_R003,R003,FUN,20190924
12855_1901_1_01,STRI_F_L003,12855,SA,HT,Healthy,F_L003,L003,FUN,20190924
12855_1901_1_02,STRI_O_R003,12855,SA,HT,Healthy,O_R003,R003,OOMY,20190924
13665_0407_1_01,STRI_F_L071,13665,DG,SA,Healthy,F_L071,L071,FUN,20190927
13665_0407_1_01,STRI_F_R069,13665,DG,SA,Healthy,F_R069,R069,FUN,20190927
13665_0407_3_01,STRI_F_R125,13665,DG,SA,Natural_Germination,F_R125,R125,FUN,20190822
13665_0803_2_01,STRI_F_R240,13665,HC,SA,Infected,F_R240,R240,FUN,20190918
13665_0803_2_01,STRI_F_L241,13665,HC,SA,Infected,F_L241,L241,FUN,20190918
13665_0820_1_02,STRI_F_R255,13665,HT,SA,Healthy,F_R255,R255,FUN,20190903
13665_0820_1_08,STRI_F_L235,13665,HT,SA,Healthy,F_L235,L235,FUN,20190927
13665_0820_1_08,STRI_F_R249,13665,HT,SA,Healthy,F_R249,R249,FUN,20190920
13665_0820_2_02,STRI_F_L244,13665,HT,SA,Infected,F_L244,L244,FUN,20190918
13665_0820_2_02,STRI_F_R239,13665,HT,SA,Infected,F_R239,R239,FUN,20190918
13665_0820_3_01,STRI_F_R256,13665,HT,SA,Natural_Germination,F_R256,R256,FUN,20190903
13665_1901_1_02,STRI_F_L010,13665,SA,SA,Healthy,F_L010,L010,FUN,20190927
13665_1901_1_02,STRI_F_R007,13665,SA,SA,Healthy,F_R007,R007,FUN,20190927
13665_1901_1_03,STRI_O_R007,13665,SA,SA,Healthy,O_R007,R007,OOMY,20190927
13687_0407_3_01,STRI_F_R150,13687,DG,SA,Natural_Germination,F_R150,R150,FUN,20190828
13687_0407_3_02,STRI_F_R163,13687,DG,SA,Natural_Germination,F_R163,R163,FUN,20190828
13687_0803_1_01,STRI_F_R109,13687,HC,SA,Healthy,F_R109,R109,FUN,20190921
13687_0820_1_01,STRI_F_R115,13687,HT,SA,Healthy,F_R115,R115,FUN,20190921
13687_0820_1_01,STRI_F_L117,13687,HT,SA,Healthy,F_L117,L117,FUN,20190921
13687_0820_1_02,STRI_O_R115,13687,HT,SA,Healthy,O_R115,R115,OOMY,20190921
13687_0820_1_05,STRI_F_L120,13687,HT,SA,Healthy,F_L120,L120,FUN,20190921
13687_0820_1_05,STRI_F_R118,13687,HT,SA,Healthy,F_R118,R118,FUN,20190921
13687_0820_1_06,STRI_O_R118,13687,HT,SA,Healthy,O_R118,R118,OOMY,20190921
13687_0820_1_06,STRI_F_R030,13687,HT,SA,Healthy,F_R030,R030,FUN,20190826
13687_0820_1_06,STRI_F_R257,13687,HT,SA,Healthy,F_R257,R257,FUN,20190903
13687_0820_1_07,STRI_O_R257,13687,HT,SA,Healthy,O_R257,R257,OOMY,20190903
13687_0820_1_10,STRI_F_R175,13687,HT,SA,Healthy,F_R175,R175,FUN,20191011
13687_0820_1_10,STRI_F_L177,13687,HT,SA,Healthy,F_L177,L177,FUN,20191011
15809_0407_2_01,STRI_F_R086,15809,DG,DG,Infected,F_R086,R086,FUN,20191007
15809_0407_2_02,STRI_O_R086,15809,DG,DG,Infected,O_R086,R086,OOMY,20191007
15809_0407_3_01,STRI_F_R228,15809,DG,DG,Natural_Germination,F_R228,R228,FUN,20190814
15809_0820_1_02,STRI_F_R139,15809,HT,DG,Healthy,F_R139,R139,FUN,20190826
15809_0820_1_03,STRI_O_R139,15809,HT,DG,Healthy,O_R139,R139,OOMY,20190826
15809_0820_1_03,STRI_F_L212,15809,HT,DG,Healthy,F_L212,L212,FUN,20191004
15809_0820_1_03,STRI_F_R210,15809,HT,DG,Healthy,F_R210,R210,FUN,20191004
15809_0820_1_04,STRI_O_R210,15809,HT,DG,Healthy,O_R210,R210,OOMY,20191004
15809_1901_3_01,STRI_F_R136,15809,SA,DG,Natural_Germination,F_R136,R136,FUN,20190822
15809_1901_3_02,STRI_O_R136,15809,SA,DG,Natural_Germination,O_R136,R136,OOMY,20190822
41346_0407_1_01,STRI_F_R135,41346,DG,SA,Healthy,F_R135,R135,FUN,20190822
41346_0803_1_03,STRI_F_R144,41346,HC,SA,Healthy,F_R144,R144,FUN,20190822
41346_1901_2_01,STRI_F_L104,41346,SA,SA,Infected,F_L104,L104,FUN,20190924
41346_1901_3_01,STRI_F_R137,41346,SA,SA,Natural_Germination,F_R137,R137,FUN,20190822
41607_0803_1_01,STRI_F_L065,41607,HC,SA,Healthy,F_L065,L065,FUN,20190927
41607_0803_1_01,STRI_F_R063,41607,HC,SA,Healthy,F_R063,R063,FUN,20190927
41607_0803_3_01,STRI_F_R149,41607,HC,SA,Natural_Germination,F_R149,R149,FUN,20190820
41607_0820_1_02,STRI_F_R011,41607,HT,SA,Healthy,F_R011,R011,FUN,20190927
41607_0820_1_03,STRI_O_R011,41607,HT,SA,Healthy,O_R011,R011,OOMY,20190927
41607_0820_1_05,STRI_F_R026,41607,HT,SA,Healthy,F_R026,R026,FUN,20190927
41607_1901_2_04,STRI_F_R051,41607,SA,SA,Infected,F_R051,R051,FUN,20191001
42320_0407_1_01,STRI_F_R057,42320,DG,DG,Healthy,F_R057,R057,FUN,20190927
42320_0407_1_01,STRI_F_L059,42320,DG,DG,Healthy,F_L059,L059,FUN,20190927
42320_0407_1_02,STRI_O_R057,42320,DG,DG,Healthy,O_R057,R057,OOMY,20190927
42320_0407_2_02,STRI_F_R227,42320,DG,DG,Infected,F_R227,R227,FUN,20190908
42320_0407_2_03,STRI_O_R227,42320,DG,DG,Infected,O_R227,R227,OOMY,20190908
42320_0407_3_01,STRI_F_L183,42320,DG,DG,Natural_Germination,F_L183,L183,FUN,20191011
42320_0407_3_01,STRI_F_R181,42320,DG,DG,Natural_Germination,F_R181,R181,FUN,20191011
42320_0803_1_01,STRI_F_R225,42320,HC,DG,Healthy,F_R225,R225,FUN,20190828
42320_0803_2_03,STRI_F_L091,42320,HC,DG,Infected,F_L091,L091,FUN,20191002
42320_0803_2_03,STRI_F_R089,42320,HC,DG,Infected,F_R089,R089,FUN,20191002
42320_0803_2_04,STRI_O_R089,42320,HC,DG,Infected,O_R089,R089,OOMY,20191002
42320_0803_3_01,STRI_F_R145,42320,HC,DG,Natural_Germination,F_R145,R145,FUN,20190828
42320_0803_3_02,STRI_F_R164,42320,HC,DG,Natural_Germination,F_R164,R164,FUN,20190828
42320_0820_1_01,STRI_F_L056,42320,HT,DG,Healthy,F_L056,L056,FUN,20190927
42320_0820_1_01,STRI_F_R054,42320,HT,DG,Healthy,F_R054,R054,FUN,20190927
42320_0820_1_02,STRI_F_R158,42320,HT,DG,Healthy,F_R158,R158,FUN,20190828
42320_0820_1_03,STRI_O_R158,42320,HT,DG,Healthy,O_R158,R158,OOMY,20190828
42320_0820_1_04,STRI_F_R146,42320,HT,DG,Healthy,F_R146,R146,FUN,20190820
42320_0820_1_06,STRI_F_R078,42320,HT,DG,Healthy,F_R078,R078,FUN,20191011
42320_0820_1_06,STRI_F_L080,42320,HT,DG,Healthy,F_L080,L080,FUN,20191011
42320_0820_1_07,STRI_F_L097,42320,HT,DG,Healthy,F_L097,L097,FUN,20191011
42320_0820_1_07,STRI_F_R095,42320,HT,DG,Healthy,F_R095,R095,FUN,20191011
42320_0820_1_08,STRI_F_R159,42320,HT,DG,Healthy,F_R159,R159,FUN,20190828
42320_0820_1_15,STRI_F_L178,42320,HT,DG,Healthy,F_L178,L178,FUN,20191011
42320_0820_1_15,STRI_F_R180,42320,HT,DG,Healthy,F_R180,R180,FUN,20191011
42320_1901_1_01,STRI_F_R102,42320,SA,DG,Healthy,F_R102,R102,FUN,20190927
42320_1901_1_01,STRI_F_L224,42320,SA,DG,Healthy,F_L224,L224,FUN,20190927
42320_1901_1_02,STRI_O_R102,42320,SA,DG,Healthy,O_R102,R102,OOMY,20190927
42320_1901_2_02,STRI_F_L085,42320,SA,DG,Infected,F_L085,L085,FUN,20191002
42320_1901_2_02,STRI_F_R083,42320,SA,DG,Infected,F_R083,R083,FUN,20191002
42320_1901_3_01,STRI_F_R160,42320,SA,DG,Natural_Germination,F_R160,R160,FUN,20190828
42320_1901_3_02,STRI_F_R162,42320,SA,DG,Natural_Germination,F_R162,R162,FUN,20190828
42320_1901_3_03,STRI_F_R147,42320,SA,DG,Natural_Germination,F_R147,R147,FUN,20190820
42320_1901_3_04,STRI_O_R147,42320,SA,DG,Natural_Germination,O_R147,R147,OOMY,20190820
58779_0407_3_01,STRI_F_R154,58779,DG,HT,Natural_Germination,F_R154,R154,FUN,20190828
58779_0407_3_02,STRI_O_R154,58779,DG,HT,Natural_Germination,O_R154,R154,OOMY,20190828
58779_0803_1_01,STRI_F_R143,58779,HC,HT,Healthy,F_R143,R143,FUN,20190822
58779_0803_2_02,STRI_F_R198,58779,HC,HT,Infected,F_R198,R198,FUN,20190926
58779_0803_3_01,STRI_F_R156,58779,HC,HT,Natural_Germination,F_R156,R156,FUN,20190828
58779_0803_3_02,STRI_F_R155,58779,HC,HT,Natural_Germination,F_R155,R155,FUN,20190828
58779_0803_3_03,STRI_F_R121,58779,HC,HT,Natural_Germination,F_R121,R121,FUN,20190828
58779_0820_1_04,STRI_F_R157,58779,HT,HT,Healthy,F_R157,R157,FUN,20190828
58779_0820_1_07,STRI_F_R039,58779,HT,HT,Healthy,F_R039,R039,FUN,20191001
58779_0820_1_08,STRI_F_R098,58779,HT,HT,Healthy,F_R098,R098,FUN,20190814
58779_0820_2_03,STRI_F_L077,58779,HT,HT,Infected,F_L077,L077,FUN,20190926
58779_0820_2_03,STRI_F_R075,58779,HT,HT,Infected,F_R075,R075,FUN,20190926
58779_1901_1_01,STRI_F_L038,58779,SA,HT,Healthy,F_L038,L038,FUN,20191001
58779_1901_1_01,STRI_F_R036,58779,SA,HT,Healthy,F_R036,R036,FUN,20191001
58779_1901_1_02,STRI_O_R036,58779,SA,HT,Healthy,O_R036,R036,OOMY,20191001
12855_0820_1_06,STRI_F_SR001,12855,HT,HT,Healthy,SR001,1,FUN,20190924
12855_0407_1_01,STRI_F_SR002,12855,DG,HT,Healthy,SR002,2,FUN,20190924
12855_1901_1_01,STRI_F_SR003,12855,SA,HT,Healthy,SR003,3,FUN,20190924
12855_0820_1_06,STRI_F_SR005,2512,HT,HT,Healthy,SR005,5,FUN,20191011
12855_0407_1_01,STRI_F_SR008,13665,SA,SA,Healthy,SR008,8,FUN,20190927
12855_1901_1_01,STRI_F_SR012,41607,HT,SA,Healthy,SR012,12,FUN,20190927
02512_0820_1_11,STRI_F_SR016,12249,HT,HC,Healthy,SR016,16,FUN,20190927
13665_1901_1_02,STRI_F_SR023,12249,HC,HC,Healthy,SR023,23,FUN,20190927
13665_1901_1_03,STRI_A_SR008,13665,SA,SA,Healthy,SR008,8,AMF,20190927
41607_0820_1_02,STRI_F_LN2,NA,NA,NA,NA,F_LN2,LN2,FUN,NA
12249_0820_1_05,STRI_F_LN1,NA,NA,NA,NA,F_LN1,LN1,FUN,NA
12249_0803_1_01,STRI_F_R226,NA,NA,NA,NA,F_R226,R226,FUN,NA
NA,STRI_A_SN2,NA,NA,NA,NA,NA,NA,AMF,NA
NA,STRI_F_SN2,NA,NA,NA,NA,NA,NA,FUN,NA
